"t","v"
0.0082374685,-0.0175045989
0.0082384686,-0.0173243205
0.0082394686,-0.0171459886
0.0082404686,-0.0169633869
0.0082414686,-0.0167801306
0.0082424686,-0.0165955636
0.0082434687,-0.0164157361
0.0082444687,-0.0162430275
0.0082454687,-0.0160493089
0.0082464687,-0.0158712917
0.0082474688,-0.0156901137
0.0082484688,-0.0155086558
0.0082494688,-0.015326973
0.0082504688,-0.0151449204
0.0082514688,-0.0149609168
0.0082524689,-0.0147721348
0.0082534689,-0.0145898133
0.0082544689,-0.0144103198
0.0082554689,-0.014217696
0.008256469,-0.0140356695
0.008257469,-0.0138520759
0.008258469,-0.0136712073
0.008259469,-0.0134878473
0.0082604691,-0.0133022975
0.0082614691,-0.0131157378
0.0082624691,-0.0129268061
0.0082634691,-0.0127426371
0.0082644691,-0.0125597184
0.0082654692,-0.0123685183
0.0082664692,-0.0121862896
0.0082674692,-0.0120010989
0.0082684692,-0.0118136271
0.0082694693,-0.0116265442
0.0082704693,-0.0114356735
0.0082714693,-0.0112501481
0.0082724693,-0.0110661317
0.0082734694,-0.0108734794
0.0082744694,-0.0106895604
0.0082754694,-0.0105029192
0.0082764694,-0.0103147927
0.0082774694,-0.0101263149
0.0082784695,-0.0099338458
0.0082794695,-0.0097470867
0.0082804695,-0.0095600517
0.0082814695,-0.0093717453
0.0082824696,-0.0091869893
0.0082834696,-0.008995653
0.0082844696,-0.0088012088
0.0082854696,-0.0086135633
0.0082864696,-0.0084286708
0.0082874697,-0.008232118
0.0082884697,-0.0080435271
0.0082894697,-0.0078547739
0.0082904697,-0.0076679395
0.0082914698,-0.0074794378
0.0082924698,-0.0072884866
0.0082934698,-0.007095495
0.0082944698,-0.0069033466
0.0082954699,-0.0067155157
0.0082964699,-0.0065293772
0.0082974699,-0.0063344197
0.0082984699,-0.006141218
0.0082994699,-0.0059525923
0.00830047,-0.0057644375
0.00830147,-0.005570499
0.00830247,-0.0053796997
0.00830347,-0.0051895683
0.0083044701,-0.0050003612
0.0083054701,-0.0048076942
0.0083064701,-0.004615022
0.0083074701,-0.0044231641
0.0083084702,-0.0042349887
0.0083094702,-0.0040404627
0.0083104702,-0.0038498083
0.0083114702,-0.0036611591
0.0083124702,-0.0034706712
0.0083134703,-0.0032763582
0.0083144703,-0.0030832088
0.0083154703,-0.0028928778
0.0083164703,-0.0027051058
0.0083174704,-0.0025055
0.0083184704,-0.002315634
0.0083194704,-0.0021249883
0.0083204704,-0.0019352978
0.0083214705,-0.0017384481
0.0083224705,-0.0015460815
0.0083234705,-0.0013555647
0.0083244705,-0.001174814
0.0083254705,-0.0009748564
0.0083264706,-0.0007811601
0.0083274706,-0.0005882325
0.0083284706,-0.0004064087
0.0083294706,-0.0002068547
0.0083304707,-1.336692167087E-05
0.0083314707,0.0001805537
0.0083324707,0.0003602907
0.0083334707,0.0005577329
0.0083344707,0.000756151
0.0083354708,0.0009458579
0.0083364708,0.0011288139
0.0083374708,0.0013300129
0.0083384708,0.001517798
0.0083394709,0.0017115548
0.0083404709,0.0019027237
0.0083414709,0.002093828
0.0083424709,0.0022850577
0.008343471,0.002480187
0.008344471,0.002666957
0.008345471,0.0028622086
0.008346471,0.0030515576
0.008347471,0.0032459001
0.0083484711,0.0034325945
0.0083494711,0.0036279481
0.0083504711,0.0038172144
0.0083514711,0.0040110708
0.0083524712,0.0041976684
0.0083534712,0.0043932342
0.0083544712,0.0045823326
0.0083554712,0.0047742541
0.0083564713,0.0049629111
0.0083574713,0.0051566255
0.0083584713,0.005346316
0.0083594713,0.0055388943
0.0083604713,0.0057247808
0.0083614714,0.0059204109
0.0083624714,0.0061088218
0.0083634714,0.0062997168
0.0083644714,0.0064885721
0.0083654715,0.006679711
0.0083664715,0.0068698859
0.0083674715,0.0070609873
0.0083684715,0.00724878
0.0083694715,0.0074393553
0.0083704716,0.0076290551
0.0083714716,0.0078200877
0.0083724716,0.0080054449
0.0083734716,0.008199473
0.0083744717,0.0083867665
0.0083754717,0.0085767468
0.0083764717,0.0087633835
0.0083774717,0.0089553199
0.0083784718,0.0091429691
0.0083794718,0.0093321889
0.0083804718,0.0095179332
0.0083814718,0.0097099983
0.0083824718,0.0098969523
0.0083834719,0.0100822216
0.0083844719,0.0102703747
0.0083854719,0.0104636535
0.0083864719,0.0106487629
0.008387472,0.0108344332
0.008388472,0.01101925
0.008389472,0.0112128577
0.008390472,0.0113987559
0.0083914721,0.0115838628
0.0083924721,0.0117672448
0.0083934721,0.0119602433
0.0083944721,0.0121464389
0.0083954721,0.0123308514
0.0083964722,0.0125128561
0.0083974722,0.0127051559
0.0083984722,0.0128912778
0.0083994722,0.0130749406
0.0084004723,0.0132582943
0.0084014723,0.0134473444
0.0084024723,0.0136333184
0.0084034723,0.0138162657
0.0084044724,0.0139969331
0.0084054724,0.0141886991
0.0084064724,0.0143734726
0.0084074724,0.0145537203
0.0084084724,0.0147331567
0.0084094725,0.0149266478
0.0084104725,0.0151084577
0.0084114725,0.0152894693
0.0084124725,0.0154679531
0.0084134726,0.0156595315
0.0084144726,0.0158404967
0.0084154726,0.0160217306
0.0084164726,0.0161995704
0.0084174726,0.0163895513
0.0084184727,0.0165696639
0.0084194727,0.0167510064
0.0084204727,0.0169277033
0.0084214727,0.0171146543
0.0084224728,0.0172963177
0.0084234728,0.0174762571
0.0084244728,0.0176503352
0.0084254728,0.0178370543
0.0084264729,0.0180204302
0.0084274729,0.018198157
0.0084284729,0.0183716437
0.0084294729,0.018562742
0.0084304729,0.0187385597
0.008431473,0.0189167762
0.008432473,0.0190908864
0.008433473,0.0192790163
0.008434473,0.019454657
0.0084354731,0.0196325395
0.0084364731,0.0198057722
0.0084374731,0.0199827941
0.0084384731,0.0201580075
0.0084394732,0.0203416264
0.0084404732,0.0205128975
0.0084414732,0.0206914936
0.0084424732,0.0208652498
0.0084434732,0.0210464586
0.0084444733,0.0212166428
0.0084454733,0.021395274
0.0084464733,0.0215679645
0.0084474733,0.0217471155
0.0084484734,0.0219162672
0.0084494734,0.0220945299
0.0084504734,0.0222661623
0.0084514734,0.0224415396
0.0084524734,0.0226129713
0.0084534735,0.0227883184
0.0084544735,0.022960258
0.0084554735,0.0231294319
0.0084564735,0.0233039668
0.0084574736,0.0234867712
0.0084584736,0.0236513859
0.0084594736,0.0238186585
0.0084604736,0.0239897834
0.0084614737,0.0241699265
0.0084624737,0.0243360739
0.0084634737,0.0245033401
0.0084644737,0.0246690496
0.0084654737,0.0248483363
0.0084664738,0.0250182555
0.0084674738,0.0251828688
0.0084684738,0.0253441697
0.0084694738,0.0255264455
0.0084704739,0.0256916282
0.0084714739,0.025855895
0.0084724739,0.0260186828
0.0084734739,0.0261903522
0.008474474,0.0263623847
0.008475474,0.026526911
0.008476474,0.026684098
0.008477474,0.0268618509
0.008478474,0.0270254177
0.0084794741,0.0271906366
0.0084804741,0.0273462981
0.0084814741,0.0275168187
0.0084824741,0.0276864315
0.0084834742,0.0278480973
0.0084844742,0.0280029591
0.0084854742,0.0281779358
0.0084864742,0.028338833
0.0084874743,0.028501287
0.0084884743,0.0286544314
0.0084894743,0.0288222476
0.0084904743,0.0289890608
0.0084914743,0.0291480018
0.0084924744,0.029300179
0.0084934744,0.0294724664
0.0084944744,0.0296305432
0.0084954744,0.029790178
0.0084964745,0.0299406131
0.0084974745,0.0301056398
0.0084984745,0.0302696123
0.0084994745,0.030425732
0.0085004745,0.0305750944
0.0085014746,0.0307445848
0.0085024746,0.0308997784
0.0085034746,0.0310565266
0.0085044746,0.031204114
0.0085054747,0.0313662643
0.0085064747,0.0315272996
0.0085074747,0.0316804403
0.0085084747,0.0318267644
0.0085094748,0.031987895
0.0085104748,0.0321465502
0.0085114748,0.0322981601
0.0085124748,0.032443493
0.0085134748,0.0326085442
0.0085144749,0.0327587286
0.0085154749,0.0329099923
0.0085164749,0.0330545688
0.0085174749,0.0332155947
0.008518475,0.0333661012
0.008519475,0.0335168759
0.008520475,0.0336579755
0.008521475,0.0338140676
0.0085224751,0.0339690383
0.0085234751,0.0341160297
0.0085244751,0.0342562093
0.0085254751,0.0344165802
0.0085264751,0.0345625729
0.0085274752,0.0347100864
0.0085284752,0.0348483558
0.0085294752,0.0350013879
0.0085304752,0.035148984
0.0085314753,0.035292622
0.0085324753,0.0354314852
0.0085334753,0.0355852266
0.0085344753,0.0357286952
0.0085354753,0.0358690935
0.0085364754,0.0360203627
0.0085374754,0.036173039
0.0085384754,0.0363082412
0.0085394754,0.0364436317
0.0085404755,0.0365915514
0.0085414755,0.0367389215
0.0085424755,0.0368831487
0.0085434755,0.0370128376
0.0085444756,0.0371562292
0.0085454756,0.0372965633
0.0085464756,0.0374383829
0.0085474756,0.0375755025
0.0085484756,0.0377109393
0.0085494757,0.0378529438
0.0085504757,0.0379905771
0.0085514757,0.0381254448
0.0085524757,0.0382575281
0.0085534758,0.0384034975
0.0085544758,0.0385388349
0.0085554758,0.0386728157
0.0085564758,0.0388011611
0.0085574759,0.0389431446
0.0085584759,0.0390866937
0.0085594759,0.0392244157
0.0085604759,0.0393407166
0.0085614759,0.0394846211
0.008562476,0.0396195829
0.008563476,0.0397496561
0.008564476,0.0398734952
0.008565476,0.0400163198
0.0085664761,0.0401445337
0.0085674761,0.0402731116
0.0085684761,0.0403965389
0.0085694761,0.0405354594
0.0085704762,0.0406636378
0.0085714762,0.0407890683
0.0085724762,0.0409119301
0.0085734762,0.041049138
0.0085744762,0.0411758761
0.0085754763,0.0413010615
0.0085764763,0.0414205843
0.0085774763,0.0415561434
0.0085784763,0.0416887058
0.0085794764,0.0418211527
0.0085804764,0.0419213943
0.0085814764,0.0420596423
0.0085824764,0.0421854608
0.0085834764,0.0423064375
0.0085844765,0.0424209555
0.0085854765,0.0425545376
0.0085864765,0.0426736005
0.0085874765,0.0427928601
0.0085884766,0.0429067132
0.0085894766,0.0430361404
0.0085904766,0.0431552013
0.0085914766,0.0432708962
0.0085924767,0.0433987114
0.0085934767,0.0435267164
0.0085944767,0.0436359911
0.0085954767,0.0437524267
0.0085964767,0.0438658699
0.0085974768,0.0439851497
0.0085984768,0.0441030966
0.0085994768,0.0442159278
0.0086004768,0.0443234828
0.0086014769,0.04444962
0.0086024769,0.0445614294
0.0086034769,0.0446731645
0.0086044769,0.0447832256
0.008605477,0.0448988108
0.008606477,0.0450254365
0.008607477,0.0451347482
0.008608477,0.0452302661
0.008609477,0.0453511868
0.0086104771,0.045463446
0.0086114771,0.0455711225
0.0086124771,0.0456767167
0.0086134771,0.0457889961
0.0086144772,0.0458969639
0.0086154772,0.0460021884
0.0086164772,0.0461046004
0.0086174772,0.046218019
0.0086184772,0.0463254489
0.0086194773,0.0464288346
0.0086204773,0.0465416395
0.0086214773,0.0466581984
0.0086224773,0.0467526719
0.0086234774,0.0468555294
0.0086244774,0.0469525013
0.0086254774,0.0470608614
0.0086264774,0.04716471
0.0086274775,0.0472645341
0.0086284775,0.0473592856
0.0086294775,0.0474690577
0.0086304775,0.0475682947
0.0086314775,0.0476646623
0.0086324776,0.0477586179
0.0086334776,0.0478664205
0.0086344776,0.0479720221
0.0086354776,0.048077264
0.0086364777,0.0481612913
0.0086374777,0.0482536278
0.0086384777,0.0483616318
0.0086394777,0.0484616154
0.0086404778,0.0485455319
0.0086414778,0.0486348976
0.0086424778,0.0487435551
0.0086434778,0.0488456406
0.0086444778,0.0489280449
0.0086454779,0.049004363
0.0086464779,0.0491326514
0.0086474779,0.0492119956
0.0086484779,0.0492928946
0.008649478,0.0493799934
0.008650478,0.0494815999
0.008651478,0.0495788904
0.008652478,0.0496555857
0.008653478,0.049733887
0.0086544781,0.0498389131
0.0086554781,0.0499339992
0.0086564781,0.0500084031
0.0086574781,0.0500848618
0.0086584782,0.0501875322
0.0086594782,0.0502804577
0.0086604782,0.0503552372
0.0086614782,0.0504253704
0.0086624783,0.0505421556
0.0086634783,0.0506142637
0.0086644783,0.0506873473
0.0086654783,0.0507645836
0.0086664783,0.0508596812
0.0086674784,0.0509484254
0.0086684784,0.0510194717
0.0086694784,0.0510852712
0.0086704784,0.0511831661
0.0086714785,0.0512691319
0.0086724785,0.051335868
0.0086734785,0.0514103392
0.0086744785,0.0515040161
0.0086754786,0.0515788433
0.0086764786,0.0516420964
0.0086774786,0.0517191996
0.0086784786,0.051805015
0.0086794786,0.051886608
0.0086804787,0.051949644
0.0086814787,0.0520199051
0.0086824787,0.0521088453
0.0086834787,0.0521795019
0.0086844788,0.0522421228
0.0086854788,0.0523088065
0.0086864788,0.0524019148
0.0086874788,0.0524662182
0.0086884789,0.0525276895
0.0086894789,0.0525940201
0.0086904789,0.0526746359
0.0086914789,0.0527499997
0.0086924789,0.0528118429
0.008693479,0.052865434
0.008694479,0.0529467031
0.008695479,0.0530172313
0.008696479,0.0530770159
0.0086974791,0.0531297767
0.0086984791,0.0532121767
0.0086994791,0.053278779
0.0087004791,0.0533366051
0.0087014791,0.0533879308
0.0087024792,0.0534674952
0.0087034792,0.053532269
0.0087044792,0.0535952404
0.0087054792,0.0536440967
0.0087064793,0.0537099975
0.0087074793,0.0537758216
0.0087084793,0.0538281886
0.0087094793,0.0538744902
0.0087104794,0.0539506254
0.0087114794,0.054019851
0.0087124794,0.054077144
0.0087134794,0.0541175621
0.0087144794,0.0541752331
0.0087154795,0.054239017
0.0087164795,0.0542970353
0.0087174795,0.0543461616
0.0087184795,0.0543869168
0.0087194796,0.054459314
0.0087204796,0.0545078948
0.0087214796,0.0545692535
0.0087224796,0.054620716
0.0087234797,0.0546548582
0.0087244797,0.0547289735
0.0087254797,0.0547675059
0.0087264797,0.0548211572
0.0087274797,0.0548623581
0.0087284798,0.0549141175
0.0087294798,0.0549740074
0.0087304798,0.0550223809
0.0087314798,0.0550643973
0.0087324799,0.0551059323
0.0087334799,0.0551323081
0.0087344799,0.0552100806
0.0087354799,0.055247963
0.0087364799,0.0552937226
0.00873748,0.055325272
0.00873848,0.0553935413
0.00873948,0.0554222323
0.00874048,0.0554596454
0.0087414801,0.0554965144
0.0087424801,0.0555330521
0.0087434801,0.0555874566
0.0087444801,0.0556420905
0.0087454802,0.0556755561
0.0087464802,0.0556991327
0.0087474802,0.0557370382
0.0087484802,0.0557869818
0.0087494802,0.0558246445
0.0087504803,0.0558559713
0.0087514803,0.0558891493
0.0087524803,0.0559223885
0.0087534803,0.0559764473
0.0087544804,0.0560112505
0.0087554804,0.0560298223
0.0087564804,0.0560752363
0.0087574804,0.0560959126
0.0087584805,0.0561240927
0.0087594805,0.0561517658
0.0087604805,0.056178955
0.0087614805,0.0562184041
0.0087624805,0.0562559126
0.0087634806,0.0562979912
0.0087644806,0.0563295315
0.0087654806,0.0563537533
0.0087664806,0.0563677054
0.0087674807,0.056394394
0.0087684807,0.0564369381
0.0087694807,0.0564653986
0.0087704807,0.0564866402
0.0087714808,0.0565096663
0.0087724808,0.0565352636
0.0087734808,0.056543122
0.0087744808,0.0566060126
0.0087754808,0.0566130241
0.0087764809,0.0566319298
0.0087774809,0.0566502822
0.0087784809,0.0566726068
0.0087794809,0.056694936
0.008780481,0.0566983885
0.008781481,0.0567584478
0.008782481,0.0567672487
0.008783481,0.056778802
0.008784481,0.0568018309
0.0087854811,0.0568181164
0.0087864811,0.0568319894
0.0087874811,0.0568453079
0.0087884811,0.056827547
0.0087894812,0.056905892
0.0087904812,0.0569066233
0.0087914812,0.0569179113
0.0087924812,0.056928657
0.0087934813,0.0569321208
0.0087944813,0.0569576495
0.0087954813,0.0569647163
0.0087964813,0.0569734511
0.0087974813,0.0569565126
0.0087984814,0.0570096384
0.0087994814,0.0570166801
0.0088004814,0.0570295677
0.0088014814,0.0570353276
0.0088024815,0.0570405369
0.0088034815,0.0570415945
0.0088044815,0.0570537931
0.0088054815,0.0570601868
0.0088064816,0.0570633774
0.0088074816,0.0570660163
0.0088084816,0.057061872
0.0088094816,0.0570521852
0.0088104816,0.0570870531
0.0088114817,0.0571028984
0.0088124817,0.0571034058
0.0088134817,0.0570968413
0.0088144817,0.0571117155
0.0088154818,0.0571086205
0.0088164818,0.0571071305
0.0088174818,0.0571051013
0.0088184818,0.0570957433
0.0088194818,0.0571080096
0.0088204819,0.0571022169
0.0088214819,0.057082012
0.0088224819,0.0570988607
0.0088234819,0.0570942419
0.008824482,0.0571031778
0.008825482,0.0570947741
0.008826482,0.0570879575
0.008827482,0.0570806125
0.0088284821,0.0570727445
0.0088294821,0.0570574971
0.0088304821,0.0570665621
0.0088314821,0.0570569014
0.0088324821,0.0570467321
0.0088334822,0.057017132
0.0088344822,0.0570212978
0.0088354822,0.057014844
0.0088364822,0.0570029475
0.0088374823,0.0569941735
0.0088384823,0.0569877856
0.0088394823,0.0569817294
0.0088404823,0.056967675
0.0088414824,0.0569530788
0.0088424824,0.0569327479
0.0088434824,0.0569174187
0.0088444824,0.0569015784
0.0088454824,0.0568852723
0.0088464825,0.0568622494
0.0088474825,0.0568616833
0.0088484825,0.056843566
0.0088494825,0.0568250062
0.0088504826,0.0567998349
0.0088514826,0.0567893988
0.0088524826,0.0567696917
0.0088534826,0.0567494977
0.0088544827,0.0567230327
0.0088554827,0.0567081561
0.0088564827,0.0566834716
0.0088574827,0.0566643818
0.0088584827,0.0566488035
0.0088594828,0.0566252462
0.0088604828,0.0566012159
0.0088614828,0.056572306
0.0088624828,0.0565547959
0.0088634829,0.0565287226
